BehaviorSpace results (NetLogo 6.0.3),,,,,,,,,,,,,,
Evacuation.nlogo,,,,,,,,,,,,,,
hallway-size,,,,,,,,,,,,,,
06/08/2018 02:49:04:421 -0500,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,
-16,16,-16,16,,,,,,,,,,,
[run number],building-type,number-of-doors,door-proximity,show-checkpoints,number-of-people,hallway-size,number-of-rooms,[step],ticks,average-time-to-evacuate,,Row Labels,Average of ticks,Average of average-time-to-evacuate
178,build my own!,1,1,FALSE,200,15,10,361,361,183.975,,,,
179,build my own!,1,1,FALSE,200,15,10,352,352,179.115,,,,
180,build my own!,1,1,FALSE,200,15,10,356,356,180.52,,,,
181,build my own!,1,1,FALSE,200,17,10,354,354,179.34,,,,
182,build my own!,1,1,FALSE,200,17,10,347,347,177.41,,,,
184,build my own!,1,1,FALSE,200,17,10,344,344,170.855,,,,
183,build my own!,1,1,FALSE,200,17,10,364,364,187.535,,,,
185,build my own!,1,1,FALSE,200,17,10,348,348,172.295,,,,
186,build my own!,1,1,FALSE,200,17,10,333,333,165.335,,,,
187,build my own!,1,1,FALSE,200,17,10,362,362,185.81,,,,
188,build my own!,1,1,FALSE,200,17,10,352,352,177.63,,,,
189,build my own!,1,1,FALSE,200,17,10,350,350,177.665,,,,
190,build my own!,1,1,FALSE,200,17,10,351,351,173.39,,,,
191,build my own!,1,1,FALSE,200,17,10,348,348,178.935,,,,
192,build my own!,1,1,FALSE,200,17,10,356,356,178.865,,,,
193,build my own!,1,1,FALSE,200,17,10,364,364,177.415,,,,
194,build my own!,1,1,FALSE,200,17,10,348,348,175.6,,,,
195,build my own!,1,1,FALSE,200,17,10,352,352,174.425,,,,
196,build my own!,1,1,FALSE,200,17,10,348,348,175.48,,,,
197,build my own!,1,1,FALSE,200,17,10,353,353,179.485,,,,
198,build my own!,1,1,FALSE,200,17,10,364,364,184.115,,,,
199,build my own!,1,1,FALSE,200,17,10,353,353,177.79,,,,
200,build my own!,1,1,FALSE,200,17,10,338,338,169.335,,,,
201,build my own!,1,1,FALSE,200,17,10,347,347,175.445,,,,
202,build my own!,1,1,FALSE,200,17,10,345,345,176.715,,,,
203,build my own!,1,1,FALSE,200,17,10,352,352,177.905,,,,
205,build my own!,1,1,FALSE,200,17,10,352,352,178.68,,,,
204,build my own!,1,1,FALSE,200,17,10,359,359,183.675,,,,
206,build my own!,1,1,FALSE,200,17,10,346,346,173.83,,,,
207,build my own!,1,1,FALSE,200,17,10,357,357,178.825,,,,
208,build my own!,1,1,FALSE,200,17,10,338,338,166.99,,,,
