BehaviorSpace results (NetLogo 6.0.3),,,,,,,,,,,,,,,,,,,,,,,,
Evacuation.nlogo,,,,,,,,,,,,,,,,,,,,,,,,
door-proximity,,,,,,,,,,,,,,,,,,,,,,,,
06/09/2018 20:24:15:355 -0500,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,
-16,16,-16,16,,,,,,,,,,,,,,,,,,,,,
[run number],building-type,number-of-doors,door-proximity,show-checkpoints,number-of-people,hallway-size,number-of-rooms,[step],ticks,average-time-to-evacuate,,,Column Labels,,,,,,,,,,,
173,build my own!,2,7,FALSE,100,21,0,102,102,54.3,,,,,,,,,,,,,,
174,build my own!,2,7,FALSE,100,21,0,99,99,53.54,,,,,,,,,,,,,,
175,build my own!,2,7,FALSE,100,21,0,92,92,49.7,,,,,,,,,,,,,,
176,build my own!,2,7,FALSE,100,21,0,94,94,49.83,,,,,,,,,,,,,,
177,build my own!,2,7,FALSE,100,21,0,97,97,50.87,,,,,,,,,,,,,,
178,build my own!,2,7,FALSE,100,21,0,105,105,56.29,,,,,,,,,,,,,,
179,build my own!,2,7,FALSE,100,21,0,95,95,50.68,,,,,,,,,,,,,,
180,build my own!,2,7,FALSE,100,21,0,96,96,47.39,,,,,,,,,,,,,,
182,build my own!,2,7,FALSE,150,21,0,137,137,70.25333333,,,,,,,,,,,,,,
181,build my own!,2,7,FALSE,150,21,0,143,143,73.94666667,,,,,,,,,,,,,,
183,build my own!,2,7,FALSE,150,21,0,139,139,69.24666667,,,,,,,,,,,,,,
184,build my own!,2,7,FALSE,150,21,0,132,132,66.11333333,,,,,,,,,,,,,,
186,build my own!,2,7,FALSE,150,21,0,133,133,66.46666667,,,,,,,,,,,,,,
185,build my own!,2,7,FALSE,150,21,0,142,142,71.82,,,,,,,,,,,,,,
187,build my own!,2,7,FALSE,150,21,0,134,134,67.88,,,,,,,,,,,,,,
188,build my own!,2,7,FALSE,150,21,0,138,138,70.34,,,,,,,,,,,,,,
189,build my own!,2,7,FALSE,150,21,0,140,140,72.86666667,,,,,,,,,,,,,,
190,build my own!,2,7,FALSE,150,21,0,144,144,73.24,,,,,,,,,,,,,,
191,build my own!,2,7,FALSE,200,21,0,171,171,86.195,,,,,,,,,,,,,,
192,build my own!,2,7,FALSE,200,21,0,185,185,95.13,,,,,,,,,,,,,,
193,build my own!,2,7,FALSE,200,21,0,168,168,85.01,,,,,,,,,,,,,,
194,build my own!,2,7,FALSE,200,21,0,175,175,90.365,,,,,,,,,,,,,,
195,build my own!,2,7,FALSE,200,21,0,181,181,92.15,,,,,,,,,,,,,,
197,build my own!,2,7,FALSE,200,21,0,181,181,93.475,,,,,,,,,,,,,,
196,build my own!,2,7,FALSE,200,21,0,178,178,91.19,,,,,,,,,,,,,,
198,build my own!,2,7,FALSE,200,21,0,179,179,91.76,,,,,,,,,,,,,,
202,build my own!,2,9,FALSE,25,21,0,60,60,33.16,,,,,,,,,,,,,,
201,build my own!,2,9,FALSE,25,21,0,65,65,37.68,,,,,,,,,,,,,,
203,build my own!,2,9,FALSE,25,21,0,63,63,36.48,,,,,,,,,,,,,,
204,build my own!,2,9,FALSE,25,21,0,61,61,28.48,,,,,,,,,,,,,,
205,build my own!,2,9,FALSE,25,21,0,61,61,37.56,,,,,,,,,,,,,,
206,build my own!,2,9,FALSE,25,21,0,63,63,36.96,,,,,,,,,,,,,,
207,build my own!,2,9,FALSE,25,21,0,63,63,34.28,,,,,,,,,,,,,,
208,build my own!,2,9,FALSE,25,21,0,62,62,35.52,,,,,,,,,,,,,,
209,build my own!,2,9,FALSE,25,21,0,63,63,39.8,,,,,,,,,,,,,,
210,build my own!,2,9,FALSE,25,21,0,63,63,33.56,,,,,,,,,,,,,,
211,build my own!,2,9,FALSE,50,21,0,73,73,38.5,,,,,,,,,,,,,,
212,build my own!,2,9,FALSE,50,21,0,67,67,38.9,,,,,,,,,,,,,,
213,build my own!,2,9,FALSE,50,21,0,70,70,38.8,,,,,,,,,,,,,,
199,build my own!,2,7,FALSE,200,21,0,192,192,95.145,,,,,,,,,,,,,,
214,build my own!,2,9,FALSE,50,21,0,73,73,42.04,,,,,,,,,,,,,,
215,build my own!,2,9,FALSE,50,21,0,69,69,37.68,,,,,,,,,,,,,,
216,build my own!,2,9,FALSE,50,21,0,66,66,36.82,,,,,,,,,,,,,,
218,build my own!,2,9,FALSE,50,21,0,69,69,37.4,,,,,,,,,,,,,,
217,build my own!,2,9,FALSE,50,21,0,65,65,35.5,,,,,,,,,,,,,,
219,build my own!,2,9,FALSE,50,21,0,63,63,34.72,,,,,,,,,,,,,,
220,build my own!,2,9,FALSE,50,21,0,61,61,31.78,,,,,,,,,,,,,,
200,build my own!,2,7,FALSE,200,21,0,177,177,91.93,,,,,,,,,,,,,,
222,build my own!,2,9,FALSE,100,21,0,95,95,49.92,,,,,,,,,,,,,,
221,build my own!,2,9,FALSE,100,21,0,94,94,48.88,,,,,,,,,,,,,,
223,build my own!,2,9,FALSE,100,21,0,94,94,50.1,,,,,,,,,,,,,,
224,build my own!,2,9,FALSE,100,21,0,94,94,49.72,,,,,,,,,,,,,,
225,build my own!,2,9,FALSE,100,21,0,90,90,47.14,,,,,,,,,,,,,,
227,build my own!,2,9,FALSE,100,21,0,93,93,49.02,,,,,,,,,,,,,,
226,build my own!,2,9,FALSE,100,21,0,94,94,51.12,,,,,,,,,,,,,,
228,build my own!,2,9,FALSE,100,21,0,96,96,52.12,,,,,,,,,,,,,,
229,build my own!,2,9,FALSE,100,21,0,95,95,48.75,,,,,,,,,,,,,,
230,build my own!,2,9,FALSE,100,21,0,96,96,49.14,,,,,,,,,,,,,,
232,build my own!,2,9,FALSE,150,21,0,133,133,66.63333333,,,,,,,,,,,,,,
231,build my own!,2,9,FALSE,150,21,0,140,140,72.62,,,,,,,,,,,,,,
233,build my own!,2,9,FALSE,150,21,0,136,136,68.06,,,,,,,,,,,,,,
234,build my own!,2,9,FALSE,150,21,0,135,135,69.91333333,,,,,,,,,,,,,,
235,build my own!,2,9,FALSE,150,21,0,135,135,68.06,,,,,,,,,,,,,,
236,build my own!,2,9,FALSE,150,21,0,134,134,66.66,,,,,,,,,,,,,,
237,build my own!,2,9,FALSE,150,21,0,143,143,71.39333333,,,,,,,,,,,,,,
238,build my own!,2,9,FALSE,150,21,0,130,130,67.54,,,,,,,,,,,,,,
239,build my own!,2,9,FALSE,150,21,0,133,133,67.20666667,,,,,,,,,,,,,,
240,build my own!,2,9,FALSE,150,21,0,136,136,68.88666667,,,,,,,,,,,,,,
